VBA;UserForm_House 635;"Öffnet das Profil von Hardi im Stummi Forum.|
|
Dort findet man, wenn man im Forum angemeldet ist, einen Link zur Email Adresse des Autors zum senden einer E-Mail oder PN.|
|
Alternativ kann auch eine Mail an 'MobaLedlib@gmx.de' geschickt werden wenn es Fragen oder Anregungen zu dem Programm oder zur MobaLedLib gibt.";"Opens the profile of Hardi in the Stummi forum. |
|
There you can find a link to the email address of the author if you are logged in to the forum to send him an email or PM. |
|
Alternatively you can also send an email to 'MobaLedlib@gmx.de' if there are any questions or suggestions about the program or the MobaLedLib.";"Opent het profiel van Hardi in het Stummi-forum. |
|
Daar vindt u een link naar het e-mailadres van de auteur als u bent ingelogd op het forum of u kunt hem een ??e-mail of PM sturen. |
|
Als alternatief kunt u ook een e-mail sturen naar 'MobaLedlib@gmx.de' als er vragen of suggesties zijn over het programma of MobaLedLib.";"Ouvre le profil de Hardi dans le forum Stummi. |
|
Vous pouvez y trouver un lien vers l'adresse e-mail de l'auteur si vous êtes connecté au forum ou vous pouvez lui envoyer un e-mail ou un MP. |
|Sinon, vous pouvez également envoyer un e-mail à 'MobaLedlib@gmx.de' pour toute question ou suggestion concernant le programme ou le MobaLedLib.";"Opens the profile of Hardi in the Stummi forum. There you can find a link to the email address of the author if you are logged in to the forum to send him an email or PM. Alternatively you can also send an email to 'MobaLedlib@gmx.de' if there are any questions or suggestions about the program or the MobaLedLib.";"Opens the profile of Hardi in the Stummi forum. There you can find a link to the email address of the author if you are logged in to the forum to send him an email or PM. Alternatively you can also send an email to 'MobaLedlib@gmx.de' if there are any questions or suggestions about the program or the MobaLedLib.";Åbner profilen af ??Hardi i Stummi-forummet. || Der kan du finde et link til forfatterens e-mail-adresse, hvis du er logget ind på forummet for at sende ham en e-mail eller PM. || Alternativt kan du også sende en e-mail til 'MobaLedlib@gmx.de', hvis der er spørgsmål eller forslag til programmet eller MobaLedLib.
VBA;UserForm_House 637;Profil des Autors öffnen;Open the author's profile;Open het profiel van de auteur;Ouvrez le profil de l'auteur;Open the author's profile;Open the author's profile;Åbn forfatterens profil
VBA;UserForm_Options 50;Unbekannte Board Option: ;Unknown board option:;Onbekende bordoptie:;Option de carte inconnue:;Unknown board option:;Unknown board option:;Ukendt tavlemulighed:
VBA;UserForm_Options 51;Unbekanntes Board;Unknown board;Onbekend bord;Tableau inconnu;Unknown board;Unknown board;Ukendt tavle
VBA;UserForm_Options 120;Bitte einen Wert zwischen ;Please enter a value between ;Voer een waarde in tussen ;Veuillez saisir une valeur entre ;Please enter a value between ;Please enter a value between ;Indtast en værdi mellem
VBA;UserForm_Options 121; eingeben.; enter.; Enter.; validez.; enter.; enter.;gå ind.
VBA;UserForm_Other 34;leer.;empty.;leeg.;vide.;empty.;empty.;tom.
VBA;UserForm_Other 34;keine gültige Zahl.;not a valid number.;geen geldig nummer.;pas un numéro valide.;not a valid number.;not a valid number.;ikke et gyldigt nummer.
VBA;UserForm_Other 36;nicht Ganzzahlig.;not integer.;geen geheel getal.;pas entier.;not integer.;not integer.;ikke heltal.
VBA;UserForm_Other 38;"zu klein!|
Der Minimal zulässiger Wert ist: ";"too small! |
The minimum permissible value is: ";"te klein! |
De minimaal toegestane waarde is: ";"trop petite! |
La valeur minimale autorisée est: ";"too small! The minimum permissible value is: ";"too small! The minimum permissible value is: ";for lille! | Den mindste tilladte værdi er:
VBA;UserForm_Other 40;"zu groß!|
Der Maximal zulässige Wert ist: ";"too large! |
The maximum permissible value is: ";"te groot! |
De maximaal toelaatbare waarde is: ";"trop grande! |
La valeur maximale autorisée est: ";"too large! The maximum permissible value is: ";"too large! The maximum permissible value is: ";for stor! | Den maksimalt tilladte værdi er:
VBA;UserForm_Other 43;Der Parameter ';The parameter ';De parameter ';Le paramètre ';The parameter ';The parameter ';Parameteren '
VBA;UserForm_Other 45;' ist ;' is;' is;' est; is; is;er
VBA;UserForm_Other 50;Bereichsüberschreitung;out of range;buiten bereik;hors game;out of range;out of range;uden for rækkevidde
VBA;UserForm_Other 50;Bitte einen Zeit zwischen ;Please enter a time between ;Alstublieft geef een tijd tussen ;S'il vous plaît un temps entre;Please enter a time between ;Please enter a time between ;Indtast en tid mellem
VBA;UserForm_Other 50; ms und ; ms and ; ms en ; ms et ; ms and ; ms and ;ms og
VBA;UserForm_Other 60;" ms eingeben.|
Die Zeitangabe kann auch eine der folgenden Einheit enthalten:|
 Min, Sec, ms |
Achtung: Zwischen Zahl und Einheit muss ein Leerzeichen stehen.|
Beispiel: 3 Sec";" ms. |
The time may also contain one of the following units: |
Min, Sec, ms |
Warning: there must be a space between the number and the unit. | 
Example: 3 Sec";" ms invullen. |
De tijd kan ook een van de volgende eenheden bevatten: |
Min, Sec, ms |
Waarschuwing: er moet een spatie tussen het nummer en de eenheid zijn. |
Voorbeeld: 3 Sec";" Entrez ms. |
L'heure peut également contenir l'une des unités suivantes: |
Min, Sec, ms |
Attention: il doit y avoir un espace entre le nombre et l'unité. |
Exemple: 3 Sec";" ms. The time may also contain one of the following units: Min, Sec, ms Warning: there must be a space between the number and the unit. Example: 3 Sec";" ms. The time may also contain one of the following units: Min, Sec, ms Warning: there must be a space between the number and the unit. | 
Example: 3 Sec"; Frk. | Tiden kan også indeholde en af ??følgende enheder: | Min, Sek, ms | Advarsel: der skal være et mellemrum mellem nummeret og enheden. | Eksempel: 3 sek
VBA;UserForm_Other 60;' ist ungültig;' is invalid;' is ongeldig;' n'est pas valide; is invalid; is invalid; er ugyldig
VBA;UserForm_Other 64;Ungültiger Parameter;Invalid parameter;Ongeldige parameter;Paramètre non valide;Invalid parameter;Invalid parameter;Ugyldig parameter
VBA;UserForm_Other 70;Noch keine Beschreibung zur Funktion ';No description of the function yet ';Nog geen beschrijving van de functie ';Pas encore de description de la fonction ';No description of the function yet ';No description of the function yet ';Der er endnu ingen beskrivelse af funktionen '
VBA;UserForm_Other 70;"' vorhanden ;-(";"' available ;-(";"' beschikbaar ;-(";"' disponible ;-(";" available ;-(";" available ;-(";" ledig ;-("
VBA;UserForm_Other 166;Parametereingabe der ';Parameter input of the ';Parameterinvoer van de ';Entrée des paramètres du ';Parameter input of the ';Parameter input of the ';Parameterinput af '
VBA;UserForm_Other 166;' Funktion;' Function;' functie;' fonction; Function; Function;Funktion
VBA;UserForm_Other 172;LED Auswahl Fehler;LED selection error;LED selectiefout;Erreur de sélection de LED;LED selection error;LED selection error;LED valgfejl
VBA;UserForm_Other 172;Fehler beim Lesen der bestehenden Kanalbezeichnung ';Error reading existing channel name ';Fout bij lezen van bestaande kanaalnaam ';Erreur lors de la lecture du nom de la chaîne existante ';Error reading existing channel name ';Error reading existing channel name ';Fejl ved læsning af eksisterende kanalnavn '
VBA;UserForm_Other 249;Unbekannte Kanalbezeichnung;Unknown channel name;Onbekende kanaalnaam;Nom de chaîne inconnu;Unknown channel name;Unknown channel name;Ukendt kanalnavn
VBA;UserForm_Other 265;Fehler der Parameter ';Parameter error ';Parameterfout ';Erreur de paramètre ';Parameter error ';Parameter error ';Parameterfejl '
VBA;UserForm_Other 265;' wurde nicht gefunden;' was not found;' is niet gevonden;' n'a pas été trouvé; was not found; was not found; blev ikke fundet
VBA;UserForm_Other 294;Programm Fehler;Program error;Programmafout;Erreur de programme;Program error;Program error;Programfejl
VBA;M03_Dialog 99;Der Kanal;The channel;Het kanaal;Le canal;The channel;The channel;Kanalen
VBA;M03_Dialog 99;Kanal;channel;kanaal;canal;channel;channel;kanal
VBA;M03_Dialog 99;Kanäle;channels;kanalen;Canaux ;channels;channels;kanaler
VBA;M03_Dialog 100;Die Adresse;The address;Het adres;L'adresse;The address;The address;Adressen
VBA;M03_Dialog 100;Adresse;address;adres;adresse;address;address;adresse
VBA;M03_Dialog 100;Adressen;addresses;adressen;adresses;addresses;addresses;adresser
VBA;;Umstellung der Sprache;Change of language;Verandering van taal;Changement de langue;Change of language;Change of language;Ændring af sprog
;;;;;;;;
;;;;;;;;
Button;;Start;Start;Start;Début;Start;Start;Start
Button;;Dialog;Dialog;Dialoog;Dialogue;Dialog;Dialog;Dialog
Button;;"Lösche|
Tabelle";"Delete |
Table";"Verwijder |
Tabel";"Supprimer |
Table";"Delete Table";"Delete Table";Slet | Tabel
Button;;"Zeile|
einfügen";"Insert|
line";"Invoegen |
regel";"Insérer |
Ligne";"Insertline";"Insertline";Indsæt | linie
Button;;"Verschiebe|
Zeilen";"Move|
lines";"Verplaats |
regels";"Déplace- |
ment lignes";"Movelines";"Movelines";Flyt | linjer
Button;;"Lösche|
Zeilen";"Delete|
lines";"Verwijder |
regel";"Supprimer |
Ligne";"Deletelines";"Deletelines";Slet | linjer
Button;;"Z. Arduino|
schicken";"Send to|
Arduino";"Verzenden|
-> Arduino";"Envoyer|
 à Arduino";"Send toArduino";"Send toArduino";Send til | Arduino
Button;;"Aus- oder|
Einblenden";"Hide/|
Unhide";"Verbergen/|
weergeven";"Masquer/|
afficher";"Hide/Unhide";"Hide/Unhide";Skjul / | Vis igen
Button;;"Alle |
Einblenden";"Unhide|
All";"Alles |
tonen";"Tout |
afficher";"UnhideAll";"UnhideAll";Unhide | Alle
Button;;"Kopiere|
Zeilen";"Copy|
lines";"Kopieer |
regels";"Copier |
lignes";"Copylines";"Copylines";Kopier | linjer
Button;;Optionen;Options;opties;Options;Options;Options;Muligheder
Button;;Help;Help;Help;Aide;Help;Help;Hjælp
;;;;;;;;
;;;;;;;;
Example;;Zeigt an, dass die LEDs angesteuert werden;Indicates that the LEDs are being controlled;Geeft aan dat de LED's aangestuurd worden;Indique que les LED sont contrôlées;Indicates that the LEDs are being controlled;Indicates that the LEDs are being controlled;Angiver, at LED'erne kontrolleres
Example;;Animiertes Haus mit 7 Räumen. Es sind zufällig zwischen 2 und 5 Zimmer beleuchtet.;Animated house with 7 rooms. Between 2 and 5 rooms are lit at random.;Geanimeerd huis met 7 kamers. Tussen 2 en 5 kamers worden willekeurig verlicht.;Maison animée de 7 pièces. Entre 2 et 5 pièces sont éclairées au hasard.;Animated house with 7 rooms. Between 2 and 5 rooms are lit at random.;Animated house with 7 rooms. Between 2 and 5 rooms are lit at random.;Animeret hus med 7 værelser. Mellem 2 og 5 værelser er oplyst tilfældigt.
Example;;"6 (Gas) Straßenlaternen welche zufällig nacheinander angehen. Die Helligkeit der Lampen nimmt langsam zu. Manchmal flackert eine Lampe. Die 3. Lampe ist ""defekt"". Sie leuchtet schwächer. Diese Zeile verwendet RGB LEDs zu Testzwecken.";"6 (gas) street lamps which light up one after the other at random. The brightness of the lamps slowly increases. Sometimes a lamp flickers. The 3rd lamp is ""defective"". It shines weaker. This line uses RGB LEDs for test purposes.";"6 (gas) straatlantaarns die willekeurig na elkaar oplichten. De helderheid van de lampen neemt langzaam toe. Soms flikkert een lamp. De 3e lamp is ""defect"". Het schijnt zwakker. Deze lijn gebruikt RGB-LED's voor testdoeleinden.";"6 lampadaires (à gaz) s'allumant au hasard l'un après l'autre. La luminosité des lampes augmente lentement. Parfois, une lampe scintille. La 3ème lampe est ""défectueuse"" brille plus faiblement. Cette ligne utilise des LED RVB à des fins de test.";"6 (gas) street lamps which light up one after the other at random. The brightness of the lamps slowly increases. Sometimes a lamp flickers. The 3rd lamp is ""defective"". It shines weaker. This line uses RGB LEDs for test purposes.";"6 (gas) street lamps which light up one after the other at random. The brightness of the lamps slowly increases. Sometimes a lamp flickers. The 3rd lamp is ""defective"". It shines weaker. This line uses RGB LEDs for test purposes.";"6 (gas) gadelamper, der lyser den ene efter den anden tilfældigt. Lampenes lysstyrke øges langsomt. Undertiden flimrer en lampe. Den 3. lampe er ""defekt"". Det lyser svagere. Denne linje bruger RGB-LED'er til testformål."
